Service,Category,Component,Metric,Idle Cost ($/month),100 calls/month ($),500 calls/month ($),1000 calls/month ($),5000 calls/month ($),Notes
,,,,,,,,,,
WEB SERVICE CALLS,,,,,,,,,,
,1,✅ min_instances=0: Saves $42.94/month idle (trade-off: cold starts),,,,,,,,
,2,✅ GCS lifecycle policies: Saves 50-80% on data >30 days old,,,,,,,,
,3,✅ Snowflake caching (70% hit rate): Saves 70% on Snowflake costs,,,,,,,,
,4,✅ Training job right-sizing (4 vCPU/16GB vs 8/32): Saves 50% per job,,,,,,,,
,,,,,,,,,,
FURTHER OPTIMIZATION OPTIONS,,,,,,,,,,
,1,Reduce training to 2 vCPU/8GB: Additional 50% per job (but 2-4x slower),,,,,,,,
,2,Compress training results: ~50% storage and egress savings,,,,,,,,
,3,Preemptible/spot instances: Up to 50% savings (when available),,,,,,,,
,4,Log retention policies: Minimal impact (first 50GB free),,,,,,,,
